,Pulse,t_ft,Ip,ne,Pnbi
92,29889,0.3221999918605434,404.7126159667969,2.1008524802567176e+19,-0.0008843665127642453
93,29890,0.3221999918605434,416.8050842285156,2.369391262861938e+19,1.980319857597351
94,29891,0.3221999918605434,413.12451171875,2.4419706851184083e+19,2.0138649940490723
95,29892,0.3221999918605434,413.51458740234375,2.348159253524932e+19,1.986332654953003
96,29893,0.3221999918605434,897.6996459960938,2.728409956828473e+19,3.451486110687256
97,29894,0.3221999918605434,803.4210815429688,2.6768340653927563e+19,2.636655330657959
98,29895,0.3221999918605434,790.679931640625,2.9838493778026955e+19,2.5130114555358887
99,29896,0.3221999918605434,789.5274047851562,2.7833817998777385e+19,2.365429401397705
100,29902,0.3221999918605434,766.9091186523438,3.1133069763686695e+19,1.7291823625564575
101,29904,0.3221999918605434,763.5291137695312,3.0082427029718827e+19,1.31666898727417
102,29905,0.3221999918605434,760.3967895507812,2.995175007275765e+19,1.3308018445968628
103,29906,0.3221999918605434,754.84814453125,3.1821258489558204e+19,1.3790558576583862
104,29907,0.3221999918605434,766.6259155273438,2.9896490817368883e+19,1.466031551361084
105,29908,0.3221999918605434,756.7418212890625,3.1587785991492993e+19,1.3633451461791992
106,29909,0.3221999918605434,757.9810180664062,3.1778098260121485e+19,1.3759597539901733
107,29910,0.3221999918605434,759.9196166992188,3.0640583112443036e+19,1.3666883707046509
108,29912,0.3221999918605434,629.3143310546875,2.4011770445093143e+19,3.3012869358062744
109,29914,0.3221999918605434,767.8463134765625,1.8239766507338858e+19,1.4111045598983765
110,29915,0.3221999918605434,628.8965454101562,2.3197166469329715e+19,3.2360596656799316
111,29916,0.3221999918605434,631.8162231445312,2.5257400571130806e+19,3.284825086593628
112,29917,0.3221999918605434,771.4710693359375,1.7763432781418856e+19,1.3312969207763672
113,29918,0.3221999918605434,733.7753295898438,1.6259395432621277e+19,0.9473617076873779
114,29919,0.3221999918605434,796.2023315429688,2.555871733467631e+19,2.325371265411377
115,29920,0.3221999918605434,812.1647338867188,2.5135064509377937e+19,2.6374101638793945
116,29921,0.3221999918605434,793.681396484375,2.740821463985134e+19,2.5578107833862305
117,29922,0.3221999918605434,795.0700073242188,2.496333838530537e+19,2.542234182357788
118,29923,0.3221999918605434,771.2222900390625,1.7987265861043356e+19,1.3874143362045288
